City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
278,Mount Vernon,US,40.9126,-73.8371,54.63,63,75,5.75,broken clouds
279,Norsup,VU,-16.0667,167.3833,84.06,70,16,5.08,few clouds
280,Luanda,AO,-8.8368,13.2343,75.72,86,57,6.08,light rain
281,Havre-Saint-Pierre,CA,50.2334,-63.5986,42.46,72,3,23.85,clear sky
282,Lebu,CL,-37.6167,-73.65,54.79,96,100,5.46,overcast clouds
283,Jawhar,SO,2.7809,45.5005,75.49,86,38,6.62,scattered clouds
284,Pangkalanbuun,ID,-2.6833,111.6167,77.83,88,89,0.92,overcast clouds
285,Cabo San Lucas,MX,22.8909,-109.9124,86.61,61,0,11.5,clear sky
286,Iqaluit,CA,63.7506,-68.5145,22.73,93,100,31.07,light snow
287,Ambilobe,MG,-13.2,49.05,69.39,78,43,3.53,scattered clouds
288,Hovd,MN,48.0056,91.6419,24.93,52,23,4.83,few clouds
289,Svetla Nad Sazavou,CZ,49.668,15.4039,51.71,72,61,6.06,broken clouds
290,Araouane,ML,18.9048,-3.5265,75.31,12,0,10.29,clear sky
291,Marsa Matruh,EG,31.3525,27.2453,69.8,66,0,9.91,clear sky
292,Severo-Kurilsk,RU,50.6789,156.125,40.15,64,63,14.38,broken clouds
293,Dir,PK,35.2058,71.8756,54.14,52,0,6.35,clear sky
294,Warner Robins,US,32.621,-83.5999,69.15,65,0,9.22,clear sky
295,Leh,IN,34.1667,77.5833,29.03,43,0,1.5,clear sky
296,Minab,IR,27.1467,57.0801,78.96,71,88,2.1,overcast clouds
297,Verkhniy Lomov,RU,53.4678,43.5511,33.96,92,73,6.44,broken clouds
298,Shelburne,CA,44.0787,-80.2041,42.6,78,30,5.5,scattered clouds
299,Tual,ID,-5.6667,132.75,84.56,71,96,9.69,overcast clouds
300,Urucara,BR,-2.5364,-57.76,81.34,53,99,3.02,overcast clouds
301,Arman,RU,59.7,150.1667,22.8,56,98,4.32,overcast clouds
302,Atherton,GB,53.5237,-2.4935,54.28,88,72,1.99,broken clouds
303,Nome,US,64.5011,-165.4064,28.47,70,0,4.61,clear sky
304,Yumbing,PH,9.2393,124.6578,81.93,77,100,17.31,overcast clouds
305,Ipixuna,BR,-1.7625,-48.8043,81.23,70,93,7.05,overcast clouds
306,Maceio,BR,-9.6658,-35.7353,76.93,82,91,10.07,overcast clouds
307,Dzilam Gonzalez,MX,21.2833,-88.9333,78.57,81,1,7.47,clear sky
308,Priiskovyy,RU,51.9333,116.6333,26.94,56,57,1.92,broken clouds
309,Pundaguitan,PH,6.3711,126.1689,83.1,79,99,24.2,overcast clouds
310,Nuuk,GL,64.1835,-51.7216,34.41,93,75,23.02,light snow
311,Atambua,ID,-9.1061,124.8925,81.52,66,100,1.21,overcast clouds
312,Nanortalik,GL,60.1432,-45.2371,35.26,96,100,12.77,snow
313,Krasnoborsk,RU,61.5598,45.934,41.07,95,100,7.16,overcast clouds
314,Arraial Do Cabo,BR,-22.9661,-42.0278,72.72,93,100,9.57,light rain
315,Balkanabat,TM,39.5108,54.3671,60.85,63,100,3.0,overcast clouds
316,Mezen,RU,65.8522,44.24,30.42,97,100,7.7,light snow
317,Okhotsk,RU,59.3833,143.3,25.16,55,100,5.53,overcast clouds
318,Montecristi,EC,-1.05,-80.6667,69.35,79,26,10.49,scattered clouds
319,Lethem,GY,3.3803,-59.7968,80.11,69,64,6.38,broken clouds
320,Tiksi,RU,71.6872,128.8694,3.81,92,100,11.1,overcast clouds
321,Aklavik,CA,68.2191,-135.0107,13.59,96,100,5.57,light snow
322,Acucena,BR,-19.0731,-42.5464,72.64,55,2,3.27,clear sky
323,Saint-Joseph,RE,-21.3667,55.6167,66.58,72,31,5.17,scattered clouds
324,Modrica,RS,43.5204,21.3647,46.22,84,4,1.59,clear sky
325,Alice Springs,AU,-23.7,133.8833,88.21,40,40,9.22,scattered clouds
326,Carlsbad,US,33.1581,-117.3506,76.71,74,20,9.22,few clouds
327,Abonnema,NG,4.7084,6.7931,77.04,89,100,4.74,overcast clouds
328,Aguada De Cima,PT,40.5229,-8.427,67.75,73,93,7.29,overcast clouds
329,Chandler,US,33.3062,-111.8412,80.08,14,0,9.22,clear sky
330,Los Llanos De Aridane,ES,28.6585,-17.9182,72.12,48,0,4.61,clear sky
331,Ahipara,NZ,-35.1667,173.1667,70.23,74,81,12.33,broken clouds
332,Boa Vista,BR,2.8197,-60.6733,81.61,71,84,5.75,light rain
333,Havoysund,NO,70.9963,24.6622,41.23,94,100,22.1,light rain
334,Porto Novo,BJ,6.4965,2.6036,78.44,86,70,4.36,light rain
335,Yumen,CN,40.2833,97.2,40.17,46,0,3.22,clear sky
336,Masuguru,TZ,-11.3667,38.4167,72.03,79,9,6.46,clear sky
337,Sai Buri,TH,6.7013,101.6168,78.96,91,100,5.48,light rain
338,Harwich,GB,51.9419,1.2844,55.26,86,88,1.01,overcast clouds
339,Awbari,LY,26.5921,12.7805,64.98,46,0,5.97,clear sky
340,Lao Cai,VN,22.4833,103.95,71.46,89,54,0.43,broken clouds
341,Hammerfest,NO,70.6634,23.6821,41.45,87,100,13.8,light rain
342,Port Keats,AU,-14.25,129.55,87.71,61,97,8.88,overcast clouds
343,Souillac,MU,-20.5167,57.5167,71.13,83,67,9.98,light rain
344,Houma,US,29.5958,-90.7195,68.0,90,96,8.05,overcast clouds
